japanese,reading,english,type,category,importance,example_jp,example_en,romaji
ちず,ちず,map,word,Other,1,ちずを みて チェックしましょう。,Let's check by looking at the map.,chizu o mite chiekkushi mashou
父,ちち,(my) father,word,People & Family,100,父は エンジニアです。,My father is an engineer.,chichi ha enjinia desu
ちゃいろ,ちゃいろ,brown,word,Other,1,わたしの さいふは ちゃいろです。,My wallet is brown.,watashino saifu wa chairo desu
ちゃわん,ちゃわん,(rice) bowl,word,Food & Drink,1,きれいな ちゃわんと おはしを かいました。,I bought a beautiful bowl and chopsticks.,kireina chawan to ohashi o kaimashita
ちょうど,ちょうど,just,word,Other,1,いま 3じ ちょうどです。,It's just 3 o'clock now.,ima 3ji choudo desu
ちょっと,ちょっと,a little,word,Things & Objects,100,すみません。ここでちょっと まってください。,Excuse me. Please wait a moment here.,sumimasen kokodechot to mattekudasai
一日,ついたち,the first day of the month,word,Time & Dates,1,たんじょうびは ３がつ ついたちです。,Birthday is March 1st.,tanjoubi wa ３gatsu tsuitachi desu
つかいます,つかいます,use,word,Verbs,1,しごとで まいにち にほんごを つかいます。,I use Japanese every day at work.,shigoto de mainichi nihongo o tsukai masu
つかれます,つかれます,get tired,word,Verbs,1,きょうは とても つかれました。,I'm very tired today.,kyou wa tote mo tsukaremashita
つぎ,つぎ,next,word,Time & Dates,1,つぎの かどを みぎに まがってください。,Turn right at the next corner.,tsugino kado o migi ni magattekudasai
つきます,つきます,arrive,word,Verbs,1,3じはんに なりたくうこうに つきます。,I will arrive at Narita Airport at 3:30.,3jihan ni naritakuukou ni tsuki masu
つくえ,つくえ,desk,word,Things & Objects,1,つくえの うえに ほんが たくさん あります。,There are many books on the desk.,tsukueno ue ni hon ga takusan ari masu
つくりかた,つくりかた,how to make,word,Other,1,このりょうりの つくりかたを しりたいです。,I want to know how to make this dish.,konoryourino tsukurikata o shiritai desu
つくります,つくります,make,word,Verbs,1,あたらしいアプリをつくりました。,I made a new app.,atarashiiapuriwotsukurimashita
つけます,つけます,turn on,word,Verbs,1,このリモコンで エアコンを つけます。,Turn on the air conditioner with this remote control.,konorimokon de eakon o tsuke masu
つとめます,つとめます,work for,word,School & Work,1,ちいさい ITの かいしゃに つとめています。,I work for a small IT company.,chiisai ITno kaisha ni tsutometei masu
つまらない,つまらない,"uninteresting, boring [i-adj.]",word,Adjectives,100,このえいがは つまらないです。,This movie is boring.,konoeiga wa tsumaranai desu
つめたい,つめたい,cold (object) [i-adj.],word,Adjectives,1,つめたいのみのもはいかがですか。,How about a cold drink?,tsumetainominomohaikaga desu ka
つよい,つよい,strong [i-adj.],word,Adjectives,1,きょうは とても かぜが つよいです。,It's very windy today.,kyou wa tote mo kaze ga tsuyoi desu
手,て,hand,word,Body Parts,100,手を みせてください。,Please show me your hand.,te wo misetekudasai
ティッシュペーパー,ティッシュペーパー,tissue,word,Other,1,ティッシュペーパーをいちまい ください。,Please give me a piece of tissue paper.,teisshupeepaawoichimai kudasai
テープ,テープ,tape,word,Things & Objects,100,ここに テープを はってください。,Please stick the tape here.,koko ni teepu o hattekudasai
テープレコーダー,テープレコーダー,tape recorder,word,Things & Objects,100,テープレコーダーはいまは ありません。,There is no tape recorder now.,teepurekoodaahaima wa arimasen
テーブル,テーブル,table,word,Things & Objects,100,このテーブルを つかってもいいですか。,Can I use this table?,konoteeburu o tsukattemoii desu ka
出かけます,でかけます,go out,word,Verbs,1,きのうは どこにも でかけませんでした。,I didn't go anywhere yesterday.,kinou wa dokoni mo dekakemasen deshita
手紙,てがみ,letter,word,Things & Objects,100,よくメールは しますが、手紙はかきません。,"I often email, but I don't write letters.",yokumeeru wa shi masu ga tegami hakakimasen
できます,できます,can,word,Verbs,1,わたしは ちゅうごくごと かんこくごも できます。,I can also speak Chinese and Korean.,watashi wa chuugokugo to kankokugo mo deki masu
出口,でぐち,exit,word,Places & Directions,100,出口は あちらのドアです。,The exit is that door.,deguchi ha achiranodoa desu
テスト,テスト,test,word,School & Work,100,あしたは かんじのテストがあります。,Tomorrow I have a kanji test.,ashita wa kanjinotesutogaari masu
では,では,"then, well then = じゃ。",word,Things & Objects,100,では、きょうの レッスンを おわりましょう。,So let's finish today's lesson.,de wa kyouno ressun o owari mashou
デパート,デパート,department store,word,Places & Directions,100,デパートに かいものに いきました。,I went shopping at a department store.,depaato ni kaimono ni ikimashita
出ます,でます,leave,word,Verbs,1,あしたは あさ 7じに うちを 出ます。,I will leave home at 7 am tomorrow.,ashita wa asa 7ji ni uchi o de masu
でも,でも,but,word,Things & Objects,100,にちようびです。でも、うちでしごとを します。,It's Sunday. But I do work at home.,nichiyoubi desu de mo uchideshigoto o shi masu
テレビ,テレビ,TV,word,Things & Objects,100,テレビで そのニュースを みました。,I saw the news on TV.,terebi de sononyuusu o mimashita
天気,てんき,weather,word,Nature & Animals,100,きょうは とても いい天気ですね。,It's a very nice weather today.,kyou wa tote mo ii tenki desu ne
電気,でんき,electricity,word,Things & Objects,100,電気を つけても いいですか。,Can I turn on the light?,denki wo tsukete mo ii desu ka
電車,でんしゃ,train,word,Things & Objects,100,電車は すこし こんでいました。,The train was a little crowded.,densha ha sukoshi kondeimashita
電話,でんわ,telephone,word,Things & Objects,100,きのう ははから 電話が ありました。,I got a call from my mother yesterday.,kinou hahakara denwa ga arimashita
電話します,でんわします,"call, ring",word,Verbs,1,たまに かぞくに 電話します。,I call my family once in a while.,tama ni kazoku ni denwashi masu
電話ばんごう,でんわばんごう,telephone number,word,Things & Objects,1,ここに 電話ばんごうをかいてください。,Please write your phone number here.,koko ni denwabangou wokaitekudasai
と,と,door,word,Things & Objects,1,とが あいています。,The door is open.,to ga aitei masu
ど,ど,Saturday = どようび。,word,Time & Dates,1,5がつ16にち（ど）に にほんに いきます。,"I will go to Japan on Saturday, May 16th.",5gatsu16nichi（do） ni nihon ni iki masu
ドア,ドア,door,word,Places & Directions,100,みぎがわのドアがあきます。,The door on the right opens.,migigawanodoagaaki masu
トイレ,トイレ,"toilet, lavatory",word,Places & Directions,100,トイレを かりても いいですか。,Can I use the toilet?,toire o karite mo ii desu ka
トイレットペーパー,トイレットペーパー,toilet paper,word,Things & Objects,1,トイレットペーパーがありません！,There is no toilet paper!,toirettopeepaagaarimasen
どう,どう,how,word,Things & Objects,100,きのうの テストは どうでしたか。,How was your test yesterday?,kinouno tesuto wa dou deshita ka
とうきょう,とうきょう,Tokyo,word,Other,1,とうきょうは おもしろい ところですね。,"Tokyo is an interesting place, isn't it?",toukyou wa omoshiroi tokoro desu ne
どうして,どうして,why,word,Things & Objects,100,どうして きのう やすみましたか。,Why did you take a day off yesterday?,doushite kinou yasumimashita ka
とうふ,とうふ,tofu,word,Other,1,とうふ を たべたことが ありますか。,Have you ever eaten tofu?,toufu wo tabetakoto ga ari masu ka
どうぶつ,どうぶつ,animal,word,Nature & Animals,1,どうぶつえんに いろいろな どうぶつが います。,There are various animals in the zoo.,doubutsuen ni iroirona doubutsu ga i masu
十,とお,ten,word,Other,1,ひとつ、ふたつ、みっつ、よっつ、いつつ、むっつ、ななつ、やっつ、ここのつ、十。,"One, two, three, four, five, six, seven, eight, nine, ten.",hitotsu futatsu mittsu yottsu itsutsu muttsu nanatsu yattsu kokonotsu too
とおい,とおい,far [i-adj.],word,Adjectives,1,えきは ここから すこし とおいです。,The station is a little far from here.,eki wa kokokara sukoshi tooi desu
とおく,とおく,"distantly, far [noun]",word,Places & Directions,1,りょうしんは とおくに すんでいます。,My parents live far away.,ryoushin wa tooku ni sundei masu
十日,とおか,"the tenth day of the month, ten days",word,Time & Dates,100,きょうは 十日です。,Today is the 10th.,kyou wa too ka desu
ときどき,ときどき,sometimes,word,Time & Dates,1,ときどき じぶんで りょうりを つくります。,Sometimes I cook myself.,tokidoki jibun de ryouri o tsukuri masu
とけい,とけい,"clock, watch",word,Things & Objects,1,ともだちに かわいい とけいを プレゼントしました。,I gave my friend a cute clock as a gift.,tomodachi ni kawaii tokei o purezentoshimashita
どこ,どこ,where,word,Places & Directions,100,おてあらいは どこですか。,Where is the restroom?,otearai wa doko desu ka
どこか,どこか,somewhere,word,Other,1,どこかで ランチを たべませんか。,Would you like to have lunch somewhere?,dokoka de ranchi o tabemasen ka
ところ,ところ,place,word,Places & Directions,1,どんな ところに すみたいですか。,What kind of place do you want to live in?,donna tokoro ni sumitai desu ka
としょかん,としょかん,library,word,Other,1,わたしは ほとんど としょかんに いきません。,I rarely go to the library.,watashi wa hotondo toshokan ni ikimasen
どちら,どちら,「どっち which」「どこ where」「どれ which one」のpolite,word,Places & Directions,100,コーヒーとこうちゃ、どちがいいですか。,"Which would you like, coffee or tea?",koohiitokoucha dochigaii desu ka
とても,とても,very,word,Things & Objects,100,きょうは とても たのしかったです。,I had a lot of fun today.,kyou wa tote mo tanoshikatta desu
どなた,どなた,だれ。who のpolite,word,People & Family,100,この しゃしんの ひとは どなた ですか。,Who is the person in this photo?,kono shashinno hito wa donata desu ka
となり,となり,next to,word,Time & Dates,1,となりに すわってもいいですか。,Can I sit next to you?,tonari ni suwattemoii desu ka
どの,どの,which ...,word,Things & Objects,100,どのアプリを いちばん よく つかいますか。,Which app do you use the most?,donoapuri o ichiban yoku tsukai masu ka
とびます,とびます,fly,word,Verbs,1,とりが たくさん とんでいます。,A lot of birds are flying.,tori ga takusan tondei masu
とまります,とまります,stop,word,Verbs,1,このでんしゃは しぶやえきに とまりますか。,Does this train stop at Shibuya Station?,konodensha wa shibuyaeki ni tomari masu ka
友だち,ともだち,friend,word,People & Family,1,きのうは 友だちと オンラインで はなしました。,I talked online with my friends yesterday.,kinou wa tomodachi to onrain de hanashimashita
土よう日,どようび,Saturday,word,Time & Dates,1,こんしゅうの 土よう日はやすみです。,This Saturday is closed.,konshuuno doyoubi hayasumi desu
とり,とり,bird,word,Nature & Animals,1,きの うえに ちいさいとりが たくさん います。,There are many small birds on the tree.,kino ue ni chiisaitori ga takusan i masu
とりにく,とりにく,chicken,word,Other,1,とりにくを よく たべます。,I often eat chicken.,toriniku o yoku tabe masu
とります,とります,take (photographs),word,Verbs,1,きょうとで たくさん きれいな しゃしんを とりました。,I took a lot of beautiful pictures in Kyoto.,kyouto de takusan kireina shashin o torimashita
どれ,どれ,which one,word,Things & Objects,100,おすすめは どれですか。,Which is your recommendation?,osusume wa dore desu ka
どんな,どんな,what kind of ...,word,Things & Objects,100,どんな ものを たべたいですか。,What kind of food do you want to eat?,donna mono o tabetai desu ka
ナイフ,ナイフ,knife,word,Things & Objects,100,フォークと ナイフで ステーキを たべます。,I eat steak with a fork and knife.,fuooku to naifu de suteeki o tabe masu
中,なか,inside,word,Places & Directions,100,ポケットの 中に ティッシュが あります。,There is tissue in my pocket.,pokettono na ka ni teisshu ga ari masu
長い,ながい,long [i-adj.],word,Adjectives,100,このえいがは とても 長いです。,This movie is very long.,konoeiga wa tote mo nagai desu
なきます,なきます,"sing, mew, moo, etc.",word,Verbs,1,たくさんの とりが ないています。,Many birds are singing.,takusanno tori ga naitei masu
なつ,なつ,summer,word,Time & Dates,1,いちねんの なかで なつが いちばん すきです。,I like summer the best of the year.,ichinenno naka de natsu ga ichiban suki desu
など,など,"and so on, etc.",word,Other,1,バッグの なかに スマホや サイフなどが あります。,"There are smartphones, wallets and other things in the bag.",bagguno naka ni sumahoya saifunado ga ari masu
七つ,ななつ,seven,word,Numbers & Counters,100,このドーナツを 七つ ください。,"7 of these donuts, please.",konodoonatsu o nanatsu kudasai
何,なに,what,word,Clothing,1,しゅうまつは 何を しましたか。,What did you do on the weekend?,shuumatsu wa na ni wo shimashita ka
何か,なにか,something,word,Things & Objects,1,何か つめたい のみものは いかがですか。,How about some cold drink?,nani ka tsumetai nomimono wa ikaga desu ka
七日,なのか,the seventh day of the month,word,Time & Dates,100,きょうは 七日です。,Today is the 7th.,kyou wa nano ka desu
名前,なまえ,name,word,Things & Objects,100,こちらに 名前と じゅうしょを かいてください。,Please write your name and address here.,kochira ni namae to juusho o kaitekudasai
ならいます,ならいます,learn (from somebody),word,Verbs,1,ははに りょうりを ならいました。,I learned cooking from my mother.,haha ni ryouri o naraimashita
ならびます,ならびます,(someone) line up,word,Places & Directions,1,みせの そとで 30ぷん ならびました。,I lined up outside the store for 30 minutes.,miseno soto de 30pun narabimashita
ならべます,ならべます,line up (something),word,Things & Objects,1,テーブルの うえに おさらを ５まい ならべます。,I line up five dishes on the table.,teeburuno ue ni osara o ５mai narabe masu
なります,なります,become,word,Verbs,1,こどもは らいげつ 5さいに なります。,My child will be 5 years old next month.,kodomo wa raigetsu 5sai ni nari masu
何,なん,what,word,Clothing,1,このスイッチは 何ですか。,What is this switch?,konosuicchi wa nan desu ka
何時,なんじ,what time,word,Time & Dates,1,あしたは 何時にどこであいましょうか。,What time and where will we meet tomorrow?,ashita wa nanji nidokodeai mashou ka
何日,なんにち,which day of the month,word,Time & Dates,1,きょうは 何日ですか。,What day is it today?,kyou wa nannichi desu ka
二,に,two,word,Numbers & Counters,100,三、二、一 スタート！,"Three, two, one start!",ni sutaa to
にぎやか,にぎやか,lively [na-adj.],word,Things & Objects,100,ここは にぎやなかな レストランですね。,"This is a lively restaurant, isn't it?",koko wa nigiyanakana resutoran desu ne
にく,にく,meat,word,Food & Drink,1,さかなと にく、どちらがいいですか。,"Which do you prefer, fish or meat?",sakana to niku dochiragaii desu ka
西,にし,west,word,Places & Directions,100,西は こっちです。,West is this direction.,nishi ha kocchi desu
日よう日,にちようび,Sunday,word,Time & Dates,1,こんどの 日よう日の おひるごろに あいましょうか。,Shall we meet next Sunday around noon?,kondono nichiyoubi no ohirugoro ni ai mashou ka
二年,にねん,two years,word,Time & Dates,1,わたしは にほんに きて もう 二年です。,I have been in Japan for two years now.,watashi wa nihon ni kite mou ninen desu
日本,にほん,Japan,word,Time & Dates,1,１ねんまえから 日本で しごとを しています。,I have been working in Japan for a year.,１nenmaekara nihon de shigoto o shitei masu
日本語,にほんご,Japanese language,word,Time & Dates,1,はんとしまえから日本語を べんきょうしています。,I have been studying Japanese for half a year.,hantoshimaekara nihongo wo benkyoushitei masu
にもつ,にもつ,baggage,word,Things & Objects,1,ここに にもつを おいても いいですか。,Can I put my luggage here?,koko ni nimotsu o oite mo ii desu ka
ニュース,ニュース,news,word,Things & Objects,100,よく インターネットで ニュースを みます。,I often watch the news on the internet.,yoku intaanetto de nyuusu o mi masu
にわ,にわ,garden,word,Other,1,にわに いぬが 2ひき います。,There are two dogs in the yard.,niwa ni inu ga 2hiki i masu
ぬぎます,ぬぎます,take off,word,Verbs,1,いつも ここで くつを ぬぎます。,I always take off my shoes here.,itsu mo koko de kutsu o nugi masu
ぬります,ぬります,paint,word,Verbs,1,テーブルを しろく ぬります。,I paint the table white.,teeburu o shiroku nuri masu
ネクタイ,ネクタイ,necktie,word,Things & Objects,100,わたしは ネクタイが 30ぽんぐらい あります。,I have about 30 ties.,watashi wa nekutai ga 30pongurai ari masu
ねます,ねます,"go to bed, sleep",word,Things & Objects,1,いつも 12じごろに ねます。,I always go to bed around 12 o'clock.,itsu mo 12jigoro ni ne masu
ノート,ノート,notebook,word,School & Work,100,じぶんの ノートに かいてください。,Write it in your notebook.,jibunno nooto ni kaitekudasai
のぼります,のぼります,"go up, climb",word,Places & Directions,1,なつに ともだちと ふじさんにのぼります。,I will climb Mt. Fuji with my friends this summer.,natsu ni tomodachi to fujisanninobori masu
飲みます,のみます,drink,word,Food & Drink,1,まいにち コーヒーを ３ばいぐらい 飲みます。,I drink about 3 cups of coffee every day.,mainichi koohii o ３baigurai nomi masu
飲みもの,のみもの,drinks,word,Food & Drink,1,飲みものは なにが いいですか。,What do you like for a drink?,nomimono ha nani ga ii desu ka
のります,のります,"get on, ride, take",word,Verbs,1,うちの ちかくから えきまで バスに のります。,I take a bus from near my house to the station.,uchino chikakukara ekima de basu ni nori masu
は,は,teeth,word,Other,1,きょうは すこし はが いたいです。,I have a slight toothache today.,kyou wa sukoshi ha ga itai desu
パーティー,パーティー,party,word,Things & Objects,100,こんばん ともだちのうちで パーティーが あります。,I have a party at my friend's house tonight.,konban tomodachinouchi de paateii ga ari masu
はいざら,はいざら,ashtray,word,Greetings & Expressions,1,すみません。はいざらがありますか。,Excuse me. Do you have an ashtray?,sumimasen haizaragaari masu ka
入ります,はいります,enter,word,Greetings & Expressions,1,いつも  このいりぐちから なかに 入ります。,I always enter through this entrance.,itsu mo konoiriguchikara naka ni hairi masu
はがき,はがき,postcard,word,Things & Objects,1,ゆびんきょくで はがきを 10まい かいました。,I bought 10 postcards at the post office.,yubinkyoku de hagaki o 10mai kaimashita
はきます,はきます,put on,word,Verbs,1,いつも ここで くつを はきます。,I always put on shoes here.,itsu mo koko de kutsu o haki masu
はこ,はこ,box,word,Things & Objects,1,はこの なかに くるまの かぎが あります。,There is a car key in the box.,hakono naka ni kurumano kagi ga ari masu
はし/おはし,はし/おはし,chopsticks,word,Food & Drink,1,おはしで おすしを たべます。,I eat sushi with chopsticks.,ohashi de osushi o tabe masu
はし,はし,bridge,word,Places & Directions,1,あの おおきい はしを あるいて わたります。,I walk across a large bridge.,ano ookii hashi o aruite watari masu
はじまります,はじまります,"begin, start",word,Nature & Animals,1,らいしゅうから にほんごのレッスンがはじまります。,Japanese lessons will start next week.,raishuukara nihongonoressungahajimari masu
はじめに,はじめに,at the beginning,word,Other,1,はじめに ひらがなと カタカナを べんきょうしました。,"First, I studied hiragana and katakana.",hajime ni hiragana to katakana o benkyoushimashita
はじめて,はじめて,for the first time,word,Numbers & Counters,1,きょねん はじめて ふじさんをみました。,I saw Mt. Fuji for the first time last year.,kyonen hajimete fujisanwomimashita
バス,バス,bus,word,Things & Objects,100,うちから がっこうまでバスで 20ぷんです。,20 minutes by bus from my house to school.,uchikara gakkoumadebasu de 20pun desu
バス会社,バスがいしゃ,"bus agency, bus company",word,School & Work,1,いもうとは バス会社に つとめています。,My sister works for a bus company.,imouto wa basugaisha ni tsutometei masu
バスてい,バスてい,bus stop,word,Other,1,このちかくに バスていが ありますか。,Is there a bus stop near here?,konochikaku ni basutei ga ari masu ka
バスりょこう,バスりょこう,"bus tour, bus trip",word,Other,1,わたしの ちちと ははは バスりょこうが すきです。,My dad and mom love bus trips.,watashino chichi to haha wa basuryokou ga suki desu
バター,バター,butter,word,Things & Objects,100,パンに バターを ぬります。,I spread butter on bread.,pan ni bataa o nuri masu
はたち,はたち,twenty years old,word,Time & Dates,1,おとうとは らいげつ はたちに なります。,My brother will be 20 next month.,otouto wa raigetsu hatachi ni nari masu
はたらきます,はたらきます,work,word,School & Work,1,こんしゅうは しゅうまつも はたらきます。,This week I also work on weekends.,konshuu wa shuumatsu mo hataraki masu
八,はち,eight,word,Numbers & Counters,100,八人で りょこうに いきました。,I went on a trip with 8 people.,hachi hi to de ryokou ni ikimashita
二十日,はつか,"the twentieth day of the month, twenty days",word,Time & Dates,100,きょうは 二十日です。,Today is the 20th.,kyou wa hatsu ka desu
花,はな,flower,word,Nature & Animals,100,きれいな 花を たくさん かいました。,I bought a lot of beautiful flowers.,kireina hana wo takusan kaimashita
話,はなし,story,word,Things & Objects,100,せんせいから おもしろい話を ききました。,I heard an interesting story from the teacher.,senseikara omoshiroi hanashi wo kikimashita
話します,はなします,"speak, talk, tell",word,Verbs,1,よく ともだちと にほんごを 話します。,I often speak Japanese with my friends.,yoku tomodachi to nihongo o hanashi masu
母,はは,(my) mother,word,People & Family,100,ときどき 母に メールします。,I email my mother sometimes.,tokidoki ha wa ni meerushi masu
はやい,はやい,"quick, fast [i-adj.]",word,Adjectives,1,このコンピュータははやいです。,This computer is fast.,konokonpuutahahayai desu
はる,はる,spring,word,Time & Dates,1,はなが すきですから、はるがすきです。,I like spring because I like flowers.,hana ga suki desu kara harugasuki desu
はります,はります,"stick, put something on",word,Things & Objects,1,ふうとうに きってを はります。,I put a stamp on the envelope.,fuutou ni kitte o hari masu
はれ,はれ,fair weather,word,Food & Drink,1,あしたは たぶん はれです。,It will probably be sunny tomorrow.,ashita wa tabun hare desu
はれます,はれます,clear up,word,Places & Directions,1,ごごは たぶん はれます。,It will probably be sunny in the afternoon.,gogo wa tabun hare masu
ばん,ばん,"evening, night",word,Time & Dates,1,あしたのばん ともだちに あいます。,I'll see my friends tomorrow night.,ashitanoban tomodachi ni ai masu
パン,パン,bread,word,Food & Drink,100,あさは ふつう パンを たべます。,I usually eat bread in the morning.,asa wa futsuu pan o tabe masu
ハンカチ,ハンカチ,handkerchief,word,Things & Objects,100,ポケットの なかに ハンカチが あります。,There is a handkerchief in my pocket.,pokettono naka ni hankachi ga ari masu
ばんごう,ばんごう,number,word,Other,1,でんわばんごうはなんばんですか。,What is your phone number?,denwabangouhananban desu ka
ばんごはん,ばんごはん,dinner,word,Food & Drink,1,こんばんは うちで ばんごはんを たべます。,I'll have dinner at home tonight.,konban wa uchi de bangohan o tabe masu
半分,はんぶん,half,word,Numbers & Counters,100,きのうのよる 半分だけ しゅくだいを しました。,I did my homework only half last night.,kinounoyoru hanbun dake shukudai o shimashita
パンや,パンや,bakery,word,Other,1,えきの なかに おいしい パンやが あります。,There is a delicious bakery inside the station.,ekino naka ni oishii panya ga ari masu
日,ひ,day,word,Time & Dates,1,きょうは とても いい日でした。,Today was a very good day.,kyou wa tote mo ii hi deshita
東,ひがし,east,word,Places & Directions,100,東は あっちです。,East is that direction.,higashi ha acchi desu
ひきます,ひきます,play (music instrument),word,Verbs,1,ときどき ギターを ひきます。,I play the guitar sometimes.,tokidoki gitaa o hiki masu
ひくい,ひくい,low [i-adj.],word,Adjectives,1,いもうとは せが ひくいです。,My sister is short.,imouto wa se ga hikui desu
ひこうき,ひこうき,airplane,word,Other,1,ひこうきの よやくを しました。,I made a reservation for an airplane.,hikoukino yoyaku o shimashita
左,ひだり,left,word,Places & Directions,100,つぎの しんごうを 左に まがってください。,Turn left at the next traffic light.,tsugino shingou o hidari ni magattekudasai
人,ひと,"human, person",word,People & Family,100,こうえんに 人が たくさん います。,There are many people in the park.,kouen ni hi to ga takusan i masu
一つ,ひとつ,one,word,Numbers & Counters,100,すみません。これを一つ ください。,Excuse me. Please give me this one.,sumimasen kore o hitotsu kudasai
一月,ひとつき,one month = いっかげつ。,word,Time & Dates,100,にほんに きて 一月です。,It's been a month since I came to Japan.,nihon ni kite hitotsuki desu
一人,ひとり,one person,word,Numbers & Counters,100,ことしの なつは 一人で りょこうに いきます。,I'm going on a trip alone this summer.,kotoshino natsu wa hitori de ryokou ni iki masu
ひま,ひま,"free (time), not busy, spare time [na-adj.]",word,Adjectives,1,こんしゅうまつは ひまです。,I'm free this weekend.,konshuumatsu wa hima desu
百,ひゃく,hundred,word,Numbers & Counters,100,これは どれでも ひとつ 百えんです。,Each one costs 100 yen.,kore wa dorede mo hitotsu hyaku en desu
びょういん,びょういん,hospital,word,Places & Directions,1,つきに １かい びょういんに いきます。,I go to the hospital once a month.,tsuki ni １kai byouin ni iki masu
びょうき,びょうき,"illness, disease",word,Places & Directions,1,ははは いま びょうきです。,My mother is sick now.,haha wa ima byouki desu
ひらがな,ひらがな,Hiragana,word,Other,1,ひらがなで かきます。,I write in hiragana.,hiragana de kaki masu
昼,ひる,"daytime, noon",word,Time & Dates,100,あしたの 昼は うちに います。,I'll be at home tomorrow noon.,ashitano hiru ha uchi ni i masu
ビル,ビル,building,word,Places & Directions,1,たかい ビルが たくさん あります。,There are many tall buildings.,takai biru ga takusan ari masu
昼ごはん,ひるごはん,lunch,word,Food & Drink,1,ともだちと 昼ごはんを たべました。,I ate lunch with my friends.,tomodachi to hirugohan wo tabemashita
広い,ひろい,"spacious, wide [i-adj.]",word,Adjectives,100,このへやは とても 広いです。,This room is very large.,konoheya wa tote mo hiroi desu
フィルム,フィルム,film,word,Things & Objects,100,カメラに フィルムを いれます。,I put the film in the camera.,kamera ni fuirumu o ire masu
ふうとう,ふうとう,envelope,word,Things & Objects,1,ふうとうの なかに チケットを いれます。,I put the ticket in the envelope.,fuutouno naka ni chiketto o ire masu
プール,プール,swimming pool,word,Things & Objects,100,"きのう プールで 1,000メートル およぎました。","I swam 1,000 meters in the pool yesterday.","kinou puuru de 1,000meetoru oyogimashita"
フォーク,フォーク,fork,word,Things & Objects,100,フォークとナイフでステーキを たべます。,I eat steak with a fork and knife.,fuookutonaifu desu teeki o tabe masu
ふきます,ふきます,blow,word,Verbs,1,そとは すごい かぜが ふいています。,There is a terrible wind outside.,soto wa sugoi kaze ga fuitei masu
ふく,ふく,clothes,word,Clothing,1,あたらしい ふくを たくさん かいました。,I bought a lot of new clothes.,atarashii fuku o takusan kaimashita
二つ,ふたつ,two,word,Numbers & Counters,100,このパンを 二つ ください。,Please give me two of these breads.,konopan o futatsu kudasai
ぶたにく,ぶたにく,pork,word,Other,1,わたしは ぶたにくを たべません。,I don't eat pork.,watashi wa butaniku o tabemasen
二人,ふたり,two people,word,Numbers & Counters,100,わたしは こどもが 二人 います。,I have two children.,watashi wa kodomo ga futari i masu
二日,ふつか,"the second day of the month, two days",word,Time & Dates,100,きょうは 二日です。,Today is 2nd.,kyou wa futsu ka desu
ふとい,ふとい,"thick, fat [i-adj.]",word,Adjectives,1,ふといペンで じゅうしょを かきます。,I write my address with a thick pen.,futoipen de juusho o kaki masu
ふゆ,ふゆ,winter,word,Time & Dates,1,まいとし ふゆに スキーに  いきます。,I go skiing every winter.,maitoshi fuyu ni sukii ni iki masu
ふります,ふります,"fall, come down",word,Places & Directions,1,たぶん こんばんは あめが ふります。,Maybe it will rain tonight.,tabun konban wa ame ga furi masu
古い,ふるい,old [i-adj.],word,Verbs,100,これは 古いカメラです。,This is an old camera.,kore wa furui kamera desu
ふろ,ふろ,bath    「おふろ」more polite,word,Other,1,まいにち おふろに はいります。,I take a bath every day.,mainichi ofuro ni hairi masu
文,ぶん,sentence,word,Other,1,ながい 文を かいてください。,Please write a long sentence.,nagai bun wo kaitekudasai
ぶんしょう,ぶんしょう,text,word,Other,1,つぎの ぶんしょうを よんで、しつもんにこたえてください。,Please read the following sentences and answer the questions.,tsugino bunshou o yon de shitsumonnikotaetekudasai
へた,へた,"poor, unskillful [na-adj.]",word,Adjectives,1,わたしは うたが へたです。,I'm not good at singing.,watashi wa uta ga heta desu
ベッド,ベッド,bed,word,Things & Objects,100,ベッドの したに ねこが います。,There is a cat under the bed.,beddono shita ni neko ga i masu
へや,へや,room,word,Places & Directions,1,この へやは ひろいですね。,This room is large.,kono heya wa hiroi desu ne
へん,へん,"side, part このへん。 = near here",word,Places & Directions,1,このへんにATMが ありますか。,Is there an ATM near here?,konohenniATM ga ari masu ka
ペン,ペン,pen,word,School & Work,100,ここに なまえを ペンで かいてください。,Please write your name here with a pen.,koko ni namae o pen de kaitekudasai
べんきょうします,べんきょうします,study,word,School & Work,1,まいにち うちで にほんごを べんきょうします。,I will study Japanese at home every day.,mainichi uchi de nihongo o benkyoushi masu
べんり,べんり,convenience [na-adj.],word,Adjectives,1,このアプリは とても べんりです。,This app is very useful.,konoapuri wa tote mo benri desu
ほう,ほう,ＡよりＢのほうが～。B is ... than A.,word,Other,1,ふゆより なつのほうが すきです。,I like summer better than winter.,fuyuyori natsunohou ga suki desu
ぼうし,ぼうし,"hat, cap",word,Clothing,1,さむいひは ぼうしを かぶります。,I wear a hat on cold days.,samuihi wa boushi o kaburi masu
ボールペン,ボールペン,ballpoint pen,word,School & Work,100,ボールペンを もっていますか。,Do you have a ballpoint pen?,boorupen o mottei masu ka
ほか,ほか,"another, other",word,Greetings & Expressions,1,ほかの ひは  どうですか。,How about the other day?,hokano hi wa dou desu ka
ぼく,ぼく,"I (generally young boys, but some adult use as a style)",word,Other,1,ぼくは 13さいです。,I am 13 years old.,boku wa 13sai desu
