japanese,reading,english,type,category,importance,example_jp,example_en,romaji
雨,あめ,rain,word,Nature & Animals,100,ごごは たぶん 雨が ふります。,It will probably rain in the afternoon.,gogo wa tabun ame ga furi masu
アメリカ,アメリカ,The United States of America,word,Numbers & Counters,1,あには アメリカに いきました。,My brother went to America.,ani wa amerika ni ikimashita
あらいます,あらいます,wash,word,Verbs,1,ここで てを あらいます。,Wash your hands here.,koko de te o arai masu
あります,あります,have [possession],word,Verbs,1,わたしは きょう じかんが あります。,I have time today.,watashi wa kyou jikan ga ari masu
歩きます,あるきます,walk,word,Verbs,1,きのうは オフィスから うちまで あるきました。,I walked from the office to my house yesterday.,kinou wa ofuisukara uchima de arukimashita
あれ,あれ,that (one),word,Places & Directions,100,あれは なんですか。,What is that?,are wa nan desu ka
いい,いい,good [i-adj.],word,Adjectives,1,この アプリは とても いいです。,This app is very nice.,kono apuri wa tote mo ii desu
言います,いいます,"say, tell",word,Verbs,1,もういちど 言います。,I will say it again.,mouichido ii masu
家,いえ,house,word,Places & Directions,100,家の なかは あたたかいです。,The inside of the house is warm.,ie no naka wa atatakai desu
行きます,いきます,go,word,Verbs,1,じてんしゃで がっこうに 行きます。,I go to school by bicycle.,jitensha de gakkou ni iki masu
いくつ,いくつ,"how many, how old",word,Things & Objects,100,れいぞうこの なかに たまごが いくつ ありますか。,How many eggs are there in the fridge?,reizoukono naka ni tamago ga ikutsu ari masu ka
いくら,いくら,how much,word,Things & Objects,100,これは いくらですか。,How much is this?,kore wa ikura desu ka
いけ,いけ,pond,word,Places & Directions,1,いけの なかに きれいな さかなが います。,There are beautiful fish in the pond.,ikeno naka ni kireina sakana ga i masu
いしゃ,いしゃ,doctor = おいしゃさん。,word,School & Work,1,ちちは いしゃです。,My father is a doctor.,chichi wa isha desu
いす,いす,chair,word,Things & Objects,1,このいすは たかかったです。,This chair was expensive.,konoisu wa takakatta desu
いそがしい,いそがしい,busy [i-adj.],word,Adjectives,1,このごろ まいにち いそがしいです。,I'm busy these days.,konogoro mainichi isogashii desu
いたい,いたい,be painful [i-adj.],word,Adjectives,1,きょうは すこし あたまが いたいです。,I have a slight headache today.,kyou wa sukoshi atama ga itai desu
一,いち,one,word,Numbers & Counters,100,いち、に、さん、し、ご,"・・・one, two, three, four, five...",ichi ni san shi go
一ど,いちど,once,word,Numbers & Counters,1,もう一ど いってください。,Say that once more please.,mou ichido ittekudasai
一日,いちにち,one day,word,Time & Dates,100,きのうは 一日 うちに いました。,I was at home all day yesterday.,kinou wa ichinichi uchi ni imashita
一ばん,いちばん,the best,word,Adjectives,1,一ばん いいものを えらびます。,Choose the best one.,ichiban iimono o erabi masu
いつ,いつ,when,word,Things & Objects,100,いつ とうきょうに いきますか。,When are you going to Tokyo?,itsu toukyou ni iki masu ka
五日,いつか,"the fifth day of the month, five days",word,Time & Dates,100,きょうは 五日です。,Today is the 5th.,kyou wa itsu ka desu
いっしょ(に),いっしょ(に),together,word,Other,1,ともだちと いっしょに がっこうに いきます。,I will go to school with my friends.,tomodachi to issho ni gakkou ni iki masu
五つ,いつつ,five,word,Numbers & Counters,100,りんごは 五つ 400えんです。,Five apples cost 400 yen.,ringo wa itsutsu 400en desu
いつも,いつも,always,word,Time & Dates,100,いつも けいたいでんわをもっています。,I always have a mobile phone.,itsu mo keitaidenwawomottei masu
今,いま,now,word,Time & Dates,100,今 なんじですか。,What time is it now?,ima nanji desu ka
います,います,be (existence),word,Verbs,1,わたしは いま いえに います。,I'm at home now. have (family),watashi wa ima ie ni i masu
いみ,いみ,meaning,word,School & Work,1,おなじ いみのぶんは どれですか。,Which sentences have the same meaning?,onaji iminobun wa dore desu ka
いもうと,いもうと,(my) younger sister,word,People & Family,1,いもうとは いま いえに いません。,My sister isn't at home right now.,imouto wa ima ie ni imasen
いもうとさん,いもうとさん,(someone's) younger sister,word,People & Family,1,いもうとさんは どこに いますか。,Where is your sister?,imoutosan wa doko ni i masu ka
いや,いや,"hateful, not likable, unpleasant [na-adj.]",word,Adjectives,1,いやな しごとも あります。,There are also unpleasant jobs.,iyana shigoto mo ari masu
入口,いりぐち,entrance,word,Places & Directions,100,入口は どこですか。,Where is the entrance?,iriguchi ha doko desu ka
いります,いります,"be necessary, must have, need",word,Verbs,1,ふくろは  いりません。,I do not need a bag.,fukuro wa irimasen
入れます,いれます,put in,word,Verbs,1,コーヒーに クリームを 入れますか。,Would you like to add cream to your coffee?,koohii ni kuriimu o ire masu ka
いろ,いろ,color,word,Other,1,どんな いろが すきですか。,What kind of color do you like?,donna iro ga suki desu ka
いろいろ,いろいろ,various [na-adj.],word,Adjectives,1,この ビルの なかには いろいろな みせが あります。,There are various shops in this building.,kono biruno nakani wa iroirona mise ga ari masu
